Node_1,Node_2
881,1336
2152,187
531,1226
997,703
2242,118
1591,2019
186,1909
283,2159
1638,1610
1916,2168
1694,1355
609,801
1292,1250
1833,1074
968,1468
1386,1116
365,789
1419,1506
287,828
1184,73
363,391
2049,260
2074,1914
1684,1906
1985,545
1159,712
205,1810
498,2231
1646,1788
62,2300
1866,2212
1602,2291
550,1684
1079,1074
75,918
1378,1001
503,160
1589,2231
1592,2207
1938,1460
2121,1404
1373,260
1105,1218
756,1039
1465,2102
1572,1633
708,1372
1227,2205
20,965
1993,2306
820,2191
884,1550
24,552
1559,117
747,2246
2048,728
477,2266
400,1655
1727,707
558,270
1383,1112
209,1538
1965,1831
296,2220
519,289
1136,1302
167,211
1055,14
814,1347
1582,1675
70,1057
612,443
1905,1463
702,1210
2029,1361
526,61
768,1160
1593,408
730,1985
2232,410
2076,2191
144,986
246,1179
144,2244
350,1831
1827,657
2108,838
1679,260
1898,61
2301,2299
1291,2212
1096,1390
1799,918
1107,1260
613,802
1788,2163
2243,834
1593,1295
1811,1209
526,619
594,2039
177,856
379,1327
2306,931
477,684
1301,53
2212,965
1575,1909
1215,1815
695,1829
453,2009
965,1039
1171,1661
964,717
1602,518
806,2
1547,1975
1486,1468
5,1859
2206,1406
1886,345
131,1740
1212,2159
336,1661
1655,343
1187,343
118,185
491,2058
183,280
2247,2055
2035,209
343,1112
1078,302
1646,1378
1160,1872
1157,1906
1496,696
1389,523
2267,347
2212,2150
1784,1711
1263,209
1055,46
1165,40
144,1664
2212,1008
1179,1735
1574,151
646,53
2153,89
1866,12
947,2001
2097,1711
1711,917
2110,2144
804,1406
2097,1179
1222,1039
534,1822
1515,746
271,1248
1311,614
1697,7
449,1620
81,1290
450,503
1418,1923
1793,1832
343,181
2218,1187
1048,2138
1740,2257
339,870
1418,1419
1791,192
745,1841
1655,2126
205,1810
1851,1400
1641,8
2110,470
336,1827
1964,1400
2145,1112
1965,1831
840,1781
2194,295
1819,518
1594,391
2091,2033
1866,1418
1048,1128
1161,2206
131,802
1223,933
1641,315
1511,210
1661,1684
1605,2257
271,165
1805,2215
526,46
997,1788
1655,457
198,1116
774,1179
1223,234
1819,1160
476,683
1093,1711
611,965
549,1039
1040,1366
1301,1166
377,1716
1822,696
1962,1633
1424,285
1220,872
2245,57
1223,856
684,592
1232,1873
519,1327
992,1860
1102,1181
1298,1827
810,209
117,1246
1134,264
159,1754
469,497
2212,2231
1866,1985
2281,454
2091,1184
1174,347
1819,1200
653,1039
710,78
534,2191
522,802
59,1923
1906,1157
447,1160
1163,1708
1355,1327
652,1660
1506,2001
1953,800
443,139
482,2240
1297,1179
1713,1754
1622,547
296,1128
333,456
1179,2097
2215,893
1304,1977
957,1664
1773,2212
649,1179
954,1591
1459,1179
227,140
1418,61
2078,2218
1231,1273
1160,1602
1272,185
1955,2156
2122,1327
1446,1133
1096,1859
1039,2212
572,931
185,118
774,1711
1661,652
1866,343
2091,2033
1391,982
1305,1859
1866,1302
323,1187
182,856
214,1082
1511,800
1925,185
117,1372
1418,1923
1409,657
440,657
654,889
671,1502
1124,450
1098,53
524,442
2052,1767
646,1510
1096,2257
2296,1358
1711,539
669,547
1832,1688
1657,1460
1306,1827
915,1766
1201,2299
881,1133
695,1605
447,2126
845,619
1656,643
1074,1801
1465,1660
435,2001
2306,46
1655,2150
1291,2212
1917,872
1173,1503
966,60
997,1112
1201,2301
2110,2064
349,2218
2091,710
46,2033
188,1960
2212,310
1230,875
448,493
1273,2125
2303,611
505,1754
2159,832
992,1212
1387,458
1803,399
1296,1016
1923,619
100,802
1684,2102
1259,440
605,1666
997,2163
2273,260
534,2094
883,59
1124,450
664,1859
1559,117
833,1214
1866,684
458,1620
1419,1506
1078,302
2212,1788
1556,1788
534,2191
2250,458
1711,789
1025,2183
1276,1260
1740,385
636,1652
1043,17
2152,187
2300,1557
1664,209
833,1256
997,725
730,1039
1171,1660
1657,1179
20,343
1301,60
928,657
553,1400
1866,916
2134,2259
2201,547
288,1510
872,802
2280,1626
1483,1112
1640,2230
718,1418
2276,1652
1646,872
1858,1824
729,1801
522,1039
1526,1923
1435,2250
2250,1652
1799,838
530,911
1246,456
305,528
928,1652
2306,1078
1923,1039
1291,1153
1113,1419
1286,1358
725,1788
1418,619
1866,612
2058,1886
2139,1469
117,1160
341,1314
1566,2125
59,1112
522,2055
1962,2008
681,2156
1501,964
1820,800
644,1996
1964,1400
695,1605
1406,1822
27,212
389,1039
653,1506
1558,2156
1655,2126
1564,1147
388,1128
1434,611
57,800
1026,1840
1815,1215
529,1556
235,17
1655,678
1819,1160
1052,2205
1866,2215
1161,2206
1733,828
61,343
36,343
2150,2212
552,24
1290,81
532,1372
19,1043
822,1891
457,675
53,1301
1594,617
667,116
744,1179
2110,1956
1410,17
2212,2259
2126,1655
1646,2215
336,1660
1296,139
1926,838
1866,2212
1444,1923
946,1179
156,1478
964,1788
151,1754
1901,1132
968,1468
564,260
2253,211
292,1822
1998,1573
529,1556
953,1899
2270,2054
10,1605
1114,1886
343,2266
929,429
1455,791
60,1074
1231,2125
1511,716
2006,1301
1625,877
2191,81
2078,2218
2215,964
57,800
484,1102
949,123
1447,2227
550,1660
2033,1275
684,1831
719,302
1257,1157
1711,1737
1179,789
1024,213
16,2123
284,1270
1296,1327
1866,443
2259,443
1993,552
115,696
1102,413
1212,2159
1642,1828
227,2094
539,489
1223,1663
376,1295
391,363
1490,1890
1819,2212
762,499
1469,1832
1775,1711
807,1886
681,1374
820,213
859,391
286,1179
47,513
664,1683
518,457
1237,796
1955,1650
599,570
1106,1469
652,1157
2238,1916
2307,297
522,78
2212,1788
2110,1839
912,964
789,1711
2200,46
1811,1209
1768,2010
2142,1788
1400,1390
2212,1160
1097,1246
1811,310
287,436
1931,1871
687,319
2074,356
1606,1187
2215,443
902,581
947,965
1891,942
1259,760
2250,459
1223,933
1406,2206
1829,1176
2122,1355
992,1212
992,1069
540,1659
447,1505
1074,1079
1039,545
1529,2266
125,440
1374,2072
1866,1923
2307,343
1805,2033
117,1372
681,1133
1655,2134
1682,1815
957,1664
3,1078
1179,1756
917,133
2232,838
477,2266
1157,2121
664,574
1037,2259
1483,1831
1510,1327
1212,1832
1950,189
2169,838
59,1039
442,1335
1092,166
1902,2220
1378,1001
1923,611
429,929
503,1276
365,789
2185,1754
343,2212
1093,1822
14,1831
1301,2243
1355,278
1280,1573
619,2163
150,314
1151,2013
1851,2159
503,881
1827,1503
343,865
2159,1851
1309,324
488,1210
717,59
529,1078
931,343
2212,457
2212,703
61,2036
1794,1646
2243,17
1079,1471
166,1092
1406,657
1805,1179
280,893
1931,1871
1908,801
1827,126
877,1411
1647,1633
457,1246
1960,188
1327,1794
2259,139
2163,1468
19,1410
2125,480
210,933
1400,1069
1805,1372
544,2116
1684,2102
1921,1499
889,1890
744,146
2150,456
2097,231
1964,728
947,2001
647,2012
1620,458
284,863
1659,116
1593,408
148,457
2306,703
1400,2159
1153,1291
1990,2191
2247,1660
1541,1711
1374,503
1602,2212
1372,2036
2212,1302
2011,965
1639,61
534,1093
1785,2250
1184,2033
838,570
600,787
944,20
1223,1856
2240,375
1406,85
181,447
2297,587
9,1179
447,457
209,1816
892,2244
343,572
2191,1460
717,650
1655,2126
1660,1684
1964,1212
1184,278
963,314
645,1179
2001,1205
990,378
153,473
53,1301
1481,1187
1244,923
1128,1726
1703,1179
417,85
1274,800
986,2244
1193,1985
1404,2121
2288,343
172,1464
391,1594
1065,838
2134,2150
2257,101
1093,1822
2169,570
1006,493
664,1859
522,1726
1225,1605
1394,2215
443,1646
343,1985
368,1179
2280,1716
713,988
157,1112
11,1336
1018,440
100,802
1296,1355
1704,781
1819,1468
1496,696
1327,1355
1297,657
12,59
2158,1652
1659,377
965,2001
796,118
1917,562
832,1212
276,1433
1374,1550
614,1355
2076,81
507,314
2253,1711
1271,1886
529,1419
1340,2123
1827,2056
1153,1901
1327,1652
1458,141
1193,1863
180,1985
1923,619
454,657
802,872
1827,1684
2244,892
1419,2001
1646,1827
1251,1402
1459,2191
2126,1139
1669,518
796,1507
2152,1170
1773,518
47,617
2123,1060
1179,1856
992,1212
2159,1267
478,911
1408,1706
550,1157
2163,1419
526,1831
2156,1390
581,902
496,1365
1181,744
1516,314
139,278
1707,2206
1244,2093
1459,1822
2043,212
678,1655
1696,1336
1418,703
233,2212
613,260
2247,1215
965,343
1556,1788
2212,1602
1468,684
635,1652
333,703
1415,1452
1534,1116
1901,1132
2212,1139
2087,1067
501,1977
1615,1039
1387,1179
1711,1663
1064,1827
2097,1681
1973,2124
1469,1633
1906,1157
19,1410
1963,1314
2156,337
957,209
1511,657
61,1112
2122,443
56,497
1257,1157
1964,728
2200,46
716,1179
1301,1510
604,923
115,696
2115,1655
1613,790
1851,209
116,1659
1918,1039
2220,834
1397,555
389,2206
131,872
1166,53
1801,2212
892,1538
838,2169
2242,185
724,2123
545,920
1409,800
1783,1886
219,343
744,228
1186,2304
2091,2212
1420,1082
209,1633
2217,1428
529,1831
2259,443
2159,1977
443,614
1171,550
469,497
1965,717
690,1856
545,1039
1866,1652
400,2215
2209,2280
1276,503
1503,1660
