Node_1,Node_2
348,2212
759,61
2098,2212
1396,497
924,2212
1646,443
2030,2030
2113,2212
1387,1179
2260,2212
357,19
507,570
805,1916
133,1097
302,61
1521,1521
2237,2058
765,1610
1111,1111
1473,1390
1226,1226
395,443
2075,1780
1637,45
1417,2212
1230,875
687,1390
200,2212
81,1179
2093,1827
892,892
1516,570
1652,1179
456,2212
166,1092
5,664
1522,664
20,2212
358,1179
930,2110
1697,503
1632,2212
339,538
310,2212
2278,2212
70,70
2262,1145
1974,1199
1749,1097
1872,2212
1410,19
1966,1966
635,19
423,1226
1864,2212
1758,1758
2026,1179
2016,2207
453,1827
1082,2212
488,488
2206,1179
734,1179
1752,872
227,1179
1755,443
1250,1292
831,872
39,1347
2148,1929
16,1060
1942,1942
847,1179
927,1390
1730,1730
397,1181
571,1179
1221,1221
2245,1179
1205,2212
1344,1390
1615,2212
1180,381
1030,1809
1953,1179
665,1208
2259,2212
2050,573
396,428
2280,1716
2298,1827
1782,1179
275,244
1189,2212
978,1390
311,311
793,237
2025,1470
570,570
593,2212
1414,1097
2208,442
355,2212
1631,1827
1958,1179
1780,1780
1858,443
714,1301
2064,2110
1354,2212
1538,1390
1509,1628
271,1179
1204,664
1882,2212
1740,872
368,1179
1572,1390
1498,244
1127,61
71,22
1795,61
981,981
207,1809
1302,2212
1027,1179
1737,1179
760,1179
1421,2110
1242,432
1504,1179
324,1734
337,1390
24,2306
290,1179
2226,61
1483,2212
757,1508
2180,270
565,2212
254,1814
947,2212
286,828
2239,2212
234,1179
842,244
1052,1390
1315,1179
720,872
251,2212
1769,503
451,664
1487,325
1225,1390
2081,591
1959,88
1530,61
1196,872
1912,497
2101,1540
2250,1179
2024,257
1200,2212
1104,1950
1980,1150
1999,1490
2249,1676
1931,1871
915,1181
1626,1716
2150,2212
1718,2212
1818,617
459,1179
895,787
772,570
1996,61
835,1179
1650,1390
408,1295
1469,1390
460,1809
2144,2110
359,1179
1314,1181
1770,1770
1340,1060
569,1929
2007,2110
374,270
787,787
1191,1179
2289,1179
1234,1179
300,1333
608,438
154,2282
1915,1390
825,872
1834,1390
1600,538
179,503
1238,1179
1405,1179
162,1141
1436,1375
1316,1411
1623,1137
1203,538
1826,1150
1925,2207
2275,787
56,1470
1236,2212
401,1179
282,2212
728,1390
1528,2212
2203,1628
887,940
1176,941
1945,1390
1269,2212
1907,439
2022,1390
333,2212
602,602
530,2212
1501,2212
1640,1640
1814,1814
723,723
1502,1179
47,617
455,19
143,2051
1478,570
1878,1179
2063,1588
23,1179
1731,91
1435,1179
662,443
1943,2152
1896,617
1038,681
1817,1716
2071,1179
2109,1390
1987,2212
473,473
1824,443
12,2212
1686,1088
2077,1179
2231,2212
433,2212
388,1301
1342,503
708,61
2270,1390
1505,2212
2224,1301
298,1060
716,1179
1778,1179
2220,1301
1706,2212
1351,2212
2287,2287
180,2212
572,2212
1138,22
319,1390
32,866
865,2212
2122,443
949,2202
1635,1179
106,1721
1291,2212
447,2212
126,1827
839,1911
352,352
117,2212
1219,2306
1855,1537
791,791
779,1097
2193,1179
2192,2192
1039,2212
1964,1390
35,1301
1596,1910
2242,2207
1816,1539
876,1329
1884,1911
1624,1390
1714,61
2240,375
483,1734
220,1179
1690,917
393,2212
239,872
2040,1179
1187,2212
1437,2212
1044,681
753,1411
2290,1179
45,45
1245,1245
8,1179
1235,1235
1546,2212
1220,872
86,872
1057,70
281,1390
2033,61
581,902
1199,1199
314,570
1101,1628
1529,2212
376,1295
554,1179
1460,1179
1388,2212
1216,1179
1773,2212
1433,1433
605,605
2214,2212
202,481
89,1539
1373,1390
1476,1179
1947,617
822,570
122,2212
1819,2212
827,1676
1831,2212
252,664
1715,1179
1114,1916
78,2212
1694,443
2038,1390
434,1179
1946,2212
885,681
647,647
1336,1179
1994,1809
444,664
762,499
1060,1060
383,383
845,2212
1390,1390
2054,1390
2067,1154
2009,1827
224,1179
1448,1179
263,61
1081,1390
212,1154
638,828
1122,1122
553,1390
536,2051
2089,1827
2105,1241
1293,2212
1792,2212
1139,2212
2263,1183
428,428
1168,442
1281,1280
231,1179
579,1813
1053,443
1951,1951
1783,2058
2234,1179
1067,61
916,2212
1655,2212
1382,2051
2271,2271
811,2212
2167,828
1002,1179
1022,570
1449,1537
932,1786
33,1179
1020,1470
925,988
315,681
1699,2212
1950,1950
1170,2152
2062,2212
2084,1827
590,1758
